"Question","Marked","Answer(s)","Verdict","Delta","Score"
"q18","","A","Unmarked","0.0","1.5"
"q19","","B","Unmarked","0.0","1.5"
"q20","","C","Unmarked","0.0","1.5"
"q21","","A","Unmarked","0.0","1.5"
"q22","","D","Unmarked","0.0","1.5"
"q23","","B","Unmarked","0.0","1.5"
"q24","B","C","Incorrect","0.25","1.75"
"q25","","A","Unmarked","0.0","1.75"
"q26","","B","Unmarked","0.0","1.75"
"q27","","D","Unmarked","0.0","1.75"
"q28","AB","C","Incorrect","0.25","2.0"
"q29","A","A","Correct","1.0","3.0"
"q30","","B","Unmarked","0.0","3.0"
"q31","","C","Unmarked","0.0","3.0"
"q32","","D","Unmarked","0.0","3.0"
"q33","D","B","Incorrect","0.25","3.25"
"q34","","C","Unmarked","0.0","3.25"
"q35","CD","A","Incorrect","0.25","3.5"
"q36","D","D","Correct","1.0","4.5"
"q37","","B","Unmarked","0.0","4.5"
"q38","B","C","Incorrect","0.25","4.75"
"q39","A","A","Correct","1.0","5.75"
"q40","","D","Unmarked","0.0","5.75"
"Question","Marked","Answer(s)","Verdict","Delta","Score"
"q1","","B","Unmarked","0.0","0.0"
"q2","","D","Unmarked","0.0","0.0"
"q3","CD","C","Incorrect","0.25","0.25"
"q4","","B","Unmarked","0.0","0.25"
"q5","","D","Unmarked","0.0","0.25"
"q6","","C","Unmarked","0.0","0.25"
"q7","ABC","A","Incorrect","0.25","0.5"
"q8","","C","Unmarked","0.0","0.5"
"q9","","A","Unmarked","0.0","0.5"
"q10","","D","Unmarked","0.0","0.5"
"q11","ABC","C","Incorrect","0.25","0.75"
"q12","","B","Unmarked","0.0","0.75"
"q13","","A","Unmarked","0.0","0.75"
"q14","D","D","Correct","1.0","1.75"
"q15","","B","Unmarked","0.0","1.75"
"q16","CD","C","Incorrect","0.25","2.0"
"q17","","D","Unmarked","0.0","2.0"
"q18","C","A","Incorrect","0.25","2.25"
"q19","","B","Unmarked","0.0","2.25"
"q20","","C","Unmarked","0.0","2.25"
"q21","","A","Unmarked","0.0","2.25"
"q22","A","D","Incorrect","0.25","2.5"
"q23","","B","Unmarked","0.0","2.5"
"q24","","C","Unmarked","0.0","2.5"
"q25","","A","Unmarked","0.0","2.5"
"q26","","B","Unmarked","0.0","2.5"
"q27","","D","Unmarked","0.0","2.5"
"q28","","C","Unmarked","0.0","2.5"
"q29","","A","Unmarked","0.0","2.5"
"q30","","B","Unmarked","0.0","2.5"
"q31","","C","Unmarked","0.0","2.5"
"q32","D","D","Correct","1.0","3.5"
"q33","AB","B","Incorrect","0.25","3.75"
"q34","D","C","Incorrect","0.25","4.0"
"q35","A","A","Correct","1.0","5.0"
"q36","","D","Unmarked","0.0","5.0"
"q37","","B","Unmarked","0.0","5.0"
"q38","","C","Unmarked","0.0","5.0"
"q39","","A","Unmarked","0.0","5.0"
"q40","","D","Unmarked","0.0","5.0"
"Question","Marked","Answer(s)","Verdict","Delta","Score"
"q1","","B","Unmarked","0.0","0.0"
"q2","","D","Unmarked","0.0","0.0"
"q3","","C","Unmarked","0.0","0.0"
"q4","","B","Unmarked","0.0","0.0"
"q5","","D","Unmarked","0.0","0.0"
"q6","","C","Unmarked","0.0","0.0"
"q7","","A","Unmarked","0.0","0.0"
"q8","","C","Unmarked","0.0","0.0"
"q9","","A","Unmarked","0.0","0.0"
"q10","","D","Unmarked","0.0","0.0"
"q11","","C","Unmarked","0.0","0.0"
"q12","","B","Unmarked","0.0","0.0"
"q13","","A","Unmarked","0.0","0.0"
"q14","","D","Unmarked","0.0","0.0"
"q15","","B","Unmarked","0.0","0.0"
"q16","","C","Unmarked","0.0","0.0"
"q17","","D","Unmarked","0.0","0.0"
"q18","","A","Unmarked","0.0","0.0"
"q19","AB","B","Incorrect","0.25","0.25"
"q20","","C","Unmarked","0.0","0.25"
"q21","","A","Unmarked","0.0","0.25"
"q22","","D","Unmarked","0.0","0.25"
"q23","","B","Unmarked","0.0","0.25"
"q24","","C","Unmarked","0.0","0.25"
"q25","","A","Unmarked","0.0","0.25"
"q26","","B","Unmarked","0.0","0.25"
"q27","","D","Unmarked","0.0","0.25"
"q28","","C","Unmarked","0.0","0.25"
"q29","","A","Unmarked","0.0","0.25"
"q30","","B","Unmarked","0.0","0.25"
"q31","","C","Unmarked","0.0","0.25"
"q32","","D","Unmarked","0.0","0.25"
"q33","","B","Unmarked","0.0","0.25"
"q34","","C","Unmarked","0.0","0.25"
"q35","","A","Unmarked","0.0","0.25"
"q36","","D","Unmarked","0.0","0.25"
"q37","","B","Unmarked","0.0","0.25"
"q38","","C","Unmarked","0.0","0.25"
"q39","C","A","Incorrect","0.25","0.5"
"q40","","D","Unmarked","0.0","0.5"
"Question","Marked","Answer(s)","Verdict","Delta","Score"
"q1","","B","Unmarked","0.0","0.0"
"q2","BC","D","Incorrect","0.25","0.25"
"q3","","C","Unmarked","0.0","0.25"
"q4","","B","Unmarked","0.0","0.25"
"q5","BC","D","Incorrect","0.25","0.5"
"q6","","C","Unmarked","0.0","0.5"
"q7","","A","Unmarked","0.0","0.5"
"q8","B","C","Incorrect","0.25","0.75"
"q9","","A","Unmarked","0.0","0.75"
"q10","","D","Unmarked","0.0","0.75"
"q11","","C","Unmarked","0.0","0.75"
"q12","","B","Unmarked","0.0","0.75"
